Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	94 	- 	0 	6
chr3 		95 	143 	- 	249 	297
Data3.1 	101 	132 	+ 	255 	286 	
Data3.2 	96 	124 	+ 	250 	278 	
##########################################################################
chr2 		35 	86 	- 	197 	248
Data2.1 	43 	72 	- 	205 	234 	
Data2.2 	55 	69 	- 	217 	231 	
##########################################################################
chr1 		23 	212 	+ 	7 	196
Data1.1 	65 	114 	+ 	49 	98 	
Data1.2 	98 	154 	+ 	82 	138 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	143 	- 	14 	69
Data3.1 	101 	132 	+ 	27 	58 	
Data3.2 	96 	124 	+ 	22 	50 	
##########################################################################
chr2 		73 	86 	+ 	0 	13
chr2 		35 	72 	+ 	260 	297
Data2.1 	43 	72 	- 	268 	297 	
Data2.2 	55 	69 	- 	280 	294 	
##########################################################################
chr1 		23 	212 	+ 	70 	259
Data1.1 	65 	114 	+ 	112 	161 	
Data1.2 	98 	154 	+ 	145 	201 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	143 	- 	43 	98
Data3.1 	101 	132 	+ 	56 	87 	
Data3.2 	96 	124 	+ 	51 	79 	
##########################################################################
chr2 		35 	77 	- 	0 	42
chr2 		78 	86 	- 	289 	297
Data2.1 	43 	72 	- 	8 	37 	
Data2.2 	55 	69 	- 	20 	34 	
##########################################################################
chr1 		23 	212 	+ 	99 	288
Data1.1 	65 	114 	+ 	141 	190 	
Data1.2 	98 	154 	+ 	174 	230 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	137 	- 	0 	49
chr3 		138 	143 	- 	292 	297
Data3.1 	101 	132 	+ 	13 	44 	
Data3.2 	96 	124 	+ 	8 	36 	
##########################################################################
chr2 		35 	86 	- 	50 	101
Data2.1 	43 	72 	- 	58 	87 	
Data2.2 	55 	69 	- 	70 	84 	
##########################################################################
chr1 		23 	212 	- 	102 	291
Data1.1 	65 	114 	+ 	144 	193 	
Data1.2 	98 	154 	+ 	177 	233 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	143 	- 	7 	62
Data3.1 	101 	132 	+ 	20 	51 	
Data3.2 	96 	124 	+ 	15 	43 	
##########################################################################
chr2 		80 	86 	+ 	0 	6
chr2 		35 	79 	+ 	253 	297
Data2.1 	43 	72 	- 	261 	290 	
Data2.2 	55 	69 	- 	273 	287 	
##########################################################################
chr1 		23 	212 	- 	63 	252
Data1.1 	65 	114 	+ 	105 	154 	
Data1.2 	98 	154 	+ 	138 	194 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		119 	143 	+ 	0 	24
chr3 		88 	118 	+ 	267 	297
Data3.1 	101 	132 	+ 	280 	13 	297
Data3.2 	96 	124 	+ 	275 	5 	297
##########################################################################
chr2 		35 	86 	+ 	215 	266
Data2.1 	43 	72 	- 	223 	252 	
Data2.2 	55 	69 	- 	235 	249 	
##########################################################################
chr1 		23 	212 	+ 	25 	214
Data1.1 	65 	114 	+ 	67 	116 	
Data1.2 	98 	154 	+ 	100 	156 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		101 	143 	+ 	0 	42
chr3 		88 	100 	+ 	285 	297
Data3.1 	101 	132 	+ 	0 	31 	
Data3.2 	96 	124 	+ 	293 	23 	297
##########################################################################
chr2 		35 	86 	+ 	233 	284
Data2.1 	43 	72 	- 	241 	270 	
Data2.2 	55 	69 	- 	253 	267 	
##########################################################################
chr1 		23 	212 	- 	43 	232
Data1.1 	65 	114 	+ 	85 	134 	
Data1.2 	98 	154 	+ 	118 	174 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	143 	+ 	78 	133
Data3.1 	101 	132 	+ 	91 	122 	
Data3.2 	96 	124 	+ 	86 	114 	
##########################################################################
chr2 		35 	86 	- 	26 	77
Data2.1 	43 	72 	- 	34 	63 	
Data2.2 	55 	69 	- 	46 	60 	
##########################################################################
chr1 		23 	48 	- 	0 	25
chr1 		49 	212 	- 	134 	297
Data1.1 	65 	114 	+ 	150 	199 	
Data1.2 	98 	154 	+ 	183 	239 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	143 	- 	184 	239
Data3.1 	101 	132 	+ 	197 	228 	
Data3.2 	96 	124 	+ 	192 	220 	
##########################################################################
chr2 		35 	86 	- 	240 	291
Data2.1 	43 	72 	- 	248 	277 	
Data2.2 	55 	69 	- 	260 	274 	
##########################################################################
chr1 		23 	206 	- 	0 	183
chr1 		207 	212 	- 	292 	297
Data1.1 	65 	114 	+ 	42 	91 	
Data1.2 	98 	154 	+ 	75 	131 	
##########################################################################
Name	chromStart	chromEnd	strand	startCoord	endCoord	split
##########################################################################
chr3 		88 	99 	- 	0 	11
chr3 		100 	143 	- 	254 	297
Data3.1 	101 	132 	+ 	255 	286 	
Data3.2 	96 	124 	+ 	8 	278 	297
##########################################################################
chr2 		35 	86 	- 	202 	253
Data2.1 	43 	72 	- 	210 	239 	
Data2.2 	55 	69 	- 	222 	236 	
##########################################################################
chr1 		23 	212 	+ 	12 	201
Data1.1 	65 	114 	+ 	54 	103 	
Data1.2 	98 	154 	+ 	87 	143 	
##########################################################################
